X,Y,walkability
9454629.14405693,7653805.97043839,0
9454629.14405693,7653800.97043839,0
9454629.14405693,7653795.97043839,0
9454629.14405693,7653790.97043839,0
9454629.14405693,7653785.97043839,0
9454629.14405693,7653780.97043839,0
9454629.14405693,7653775.97043839,0
9454629.14405693,7653770.97043839,0
9454629.14405693,7653765.97043839,0
9454629.14405693,7653760.97043839,0
9454629.14405693,7653755.97043839,0
9454629.14405693,7653750.97043839,0
9454629.14405693,7653745.97043839,0
9454629.14405693,7653740.97043839,0
9454629.14405693,7653735.97043839,0
9454629.14405693,7653730.97043839,0
9454629.14405693,7653725.97043839,0
9454629.14405693,7653720.97043839,0
9454629.14405693,7653715.97043839,0
9454629.14405693,7653710.97043839,0
9454629.14405693,7653705.97043839,0
9454629.14405693,7653700.97043839,0
9454629.14405693,7653695.97043839,0
9454629.14405693,7653690.97043839,0
9454629.14405693,7653685.97043839,0
9454629.14405693,7653680.97043839,0
9454629.14405693,7653675.97043839,0
9454629.14405693,7653670.97043839,0
9454629.14405693,7653665.97043839,0
9454629.14405693,7653660.97043839,0
9454629.14405693,7653655.97043839,0
9454629.14405693,7653650.97043839,0
9454629.14405693,7653645.97043839,0
9454629.14405693,7653640.97043839,0
9454629.14405693,7653635.97043839,0
9454629.14405693,7653630.97043839,0
9454629.14405693,7653625.97043839,0
9454629.14405693,7653620.97043839,0
9454629.14405693,7653615.97043839,0
9454629.14405693,7653610.97043839,0
9454629.14405693,7653605.97043839,0
9454629.14405693,7653600.97043839,0
9454629.14405693,7653595.97043839,0
9454629.14405693,7653590.97043839,0
9454629.14405693,7653585.97043839,0
9454629.14405693,7653580.97043839,0
9454629.14405693,7653575.97043839,0
9454629.14405693,7653570.97043839,0
9454629.14405693,7653565.97043839,0
9454629.14405693,7653560.97043839,0
9454629.14405693,7653555.97043839,0
9454629.14405693,7653550.97043839,0
9454629.14405693,7653545.97043839,0
9454629.14405693,7653540.97043839,0
9454629.14405693,7653535.97043839,0
9454629.14405693,7653530.97043839,0
9454629.14405693,7653525.97043839,0
9454629.14405693,7653520.97043839,0
9454629.14405693,7653515.97043839,0
9454629.14405693,7653510.97043839,0
9454629.14405693,7653505.97043839,0
9454629.14405693,7653500.97043839,0
9454629.14405693,7653495.97043839,0
9454629.14405693,7653490.97043839,0
9454629.14405693,7653485.97043839,0
9454629.14405693,7653480.97043839,0
9454629.14405693,7653475.97043839,0
9454629.14405693,7653470.97043839,0
9454629.14405693,7653465.97043839,0
9454629.14405693,7653460.97043839,0
9454629.14405693,7653455.97043839,0
9454629.14405693,7653450.97043839,0
9454629.14405693,7653445.97043839,0
9454629.14405693,7653440.97043839,0
9454629.14405693,7653435.97043839,0
9454629.14405693,7653430.97043839,0
9454629.14405693,7653425.97043839,0
9454629.14405693,7653420.97043839,0
9454629.14405693,7653415.97043839,0
9454629.14405693,7653410.97043839,0
9454629.14405693,7653405.97043839,0
9454629.14405693,7653400.97043839,0
9454629.14405693,7653395.97043839,0
9454629.14405693,7653390.97043839,0
9454629.14405693,7653385.97043839,0
9454629.14405693,7653380.97043839,0
9454629.14405693,7653375.97043839,0
9454629.14405693,7653370.97043839,0
9454629.14405693,7653365.97043839,0
9454629.14405693,7653360.97043839,0
9454629.14405693,7653355.97043839,0
9454629.14405693,7653350.97043839,0
9454629.14405693,7653345.97043839,0
9454629.14405693,7653340.97043839,0
9454629.14405693,7653335.97043839,0
9454629.14405693,7653330.97043839,0
9454629.14405693,7653325.97043839,0
9454629.14405693,7653320.97043839,0
9454629.14405693,7653315.97043839,0
9454629.14405693,7653310.97043839,0
9454629.14405693,7653305.97043839,0
9454629.14405693,7653300.97043839,0
9454629.14405693,7653295.97043839,0
9454629.14405693,7653290.97043839,0
9454629.14405693,7653285.97043839,0
9454629.14405693,7653280.97043839,0
9454629.14405693,7653275.97043839,0
9454629.14405693,7653270.97043839,0
9454629.14405693,7653265.97043839,0
9454629.14405693,7653260.97043839,0
9454629.14405693,7653255.97043839,0
9454629.14405693,7653250.97043839,0
9454629.14405693,7653245.97043839,0
9454629.14405693,7653240.97043839,0
9454629.14405693,7653235.97043839,0
9454629.14405693,7653230.97043839,0
9454629.14405693,7653225.97043839,0
9454629.14405693,7653220.97043839,0
9454629.14405693,7653215.97043839,0
9454629.14405693,7653210.97043839,0
9454629.14405693,7653205.97043839,0
9454629.14405693,7653200.97043839,0
9454629.14405693,7653195.97043839,0
9454629.14405693,7653190.97043839,0
9454629.14405693,7653185.97043839,0
9454629.14405693,7653180.97043839,0
9454629.14405693,7653175.97043839,0
9454629.14405693,7653170.97043839,0
9454629.14405693,7653165.97043839,0
9454629.14405693,7653160.97043839,0
9454629.14405693,7653155.97043839,0
9454629.14405693,7653150.97043839,0
9454629.14405693,7653145.97043839,0
9454629.14405693,7653140.97043839,0
9454629.14405693,7653135.97043839,0
9454629.14405693,7653130.97043839,0
9454629.14405693,7653125.97043839,0
9454629.14405693,7653120.97043839,0
9454629.14405693,7653115.97043839,0
9454629.14405693,7653110.97043839,0
9454629.14405693,7653105.97043839,0
9454629.14405693,7653100.97043839,0
9454629.14405693,7653095.97043839,0
9454629.14405693,7653090.97043839,0
9454629.14405693,7653085.97043839,0
9454629.14405693,7653080.97043839,0
9454629.14405693,7653075.97043839,0
9454629.14405693,7653070.97043839,0
9454629.14405693,7653065.97043839,0
9454629.14405693,7653060.97043839,0
9454629.14405693,7653055.97043839,0
9454629.14405693,7653050.97043839,0
9454629.14405693,7653045.97043839,0
9454629.14405693,7653040.97043839,0
9454629.14405693,7653035.97043839,0
9454629.14405693,7653030.97043839,0
9454629.14405693,7653025.97043839,0
9454629.14405693,7653020.97043839,0
9454629.14405693,7653015.97043839,0
9454629.14405693,7653010.97043839,0
9454629.14405693,7653005.97043839,0
9454629.14405693,7653000.97043839,0
9454629.14405693,7652995.97043839,0
9454629.14405693,7652990.97043839,0
9454629.14405693,7652985.97043839,0
9454629.14405693,7652980.97043839,0
9454629.14405693,7652975.97043839,0
9454629.14405693,7652970.97043839,0
9454629.14405693,7652965.97043839,0
9454629.14405693,7652960.97043839,0
9454629.14405693,7652955.97043839,0
9454629.14405693,7652950.97043839,0
9454629.14405693,7652945.97043839,0
9454629.14405693,7652940.97043839,0
9454629.14405693,7652935.97043839,0
9454629.14405693,7652930.97043839,0
9454629.14405693,7652925.97043839,0
9454629.14405693,7652920.97043839,0
9454629.14405693,7652915.97043839,0
9454629.14405693,7652910.97043839,0
9454629.14405693,7652905.97043839,0
9454629.14405693,7652900.97043839,0
9454629.14405693,7652895.97043839,0
9454629.14405693,7652890.97043839,0
9454629.14405693,7652885.97043839,0
9454629.14405693,7652880.97043839,0
9454629.14405693,7652875.97043839,0
9454629.14405693,7652870.97043839,0
9454629.14405693,7652865.97043839,0
9454629.14405693,7652860.97043839,0
9454629.14405693,7652855.97043839,0
9454629.14405693,7652850.97043839,0
9454629.14405693,7652845.97043839,0
9454629.14405693,7652840.97043839,0
9454629.14405693,7652835.97043839,0
9454629.14405693,7652830.97043839,0
9454629.14405693,7652825.97043839,0
9454629.14405693,7652820.97043839,0
9454629.14405693,7652815.97043839,0
9454629.14405693,7652810.97043839,0
9454629.14405693,7652805.97043839,0
9454629.14405693,7652800.97043839,0
9454629.14405693,7652795.97043839,0
9454629.14405693,7652790.97043839,0
9454629.14405693,7652785.97043839,0
9454629.14405693,7652780.97043839,0
9454629.14405693,7652775.97043839,0
9454629.14405693,7652770.97043839,0
9454629.14405693,7652765.97043839,0
9454629.14405693,7652760.97043839,0
9454629.14405693,7652755.97043839,0
9454629.14405693,7652750.97043839,0
9454629.14405693,7652745.97043839,0
9454629.14405693,7652740.97043839,0
9454629.14405693,7652735.97043839,0
9454629.14405693,7652730.97043839,0
9454629.14405693,7652725.97043839,0
9454629.14405693,7652720.97043839,0
9454629.14405693,7652715.97043839,0
9454629.14405693,7652710.97043839,0
9454629.14405693,7652705.97043839,0
9454629.14405693,7652700.97043839,0
9454629.14405693,7652695.97043839,0
9454629.14405693,7652690.97043839,0
9454629.14405693,7652685.97043839,0
9454629.14405693,7652680.97043839,0
9454629.14405693,7652675.97043839,0
9454629.14405693,7652670.97043839,0
9454629.14405693,7652665.97043839,0
9454629.14405693,7652660.97043839,0
9454629.14405693,7652655.97043839,0
9454629.14405693,7652650.97043839,0
9454629.14405693,7652645.97043839,0
9454629.14405693,7652640.97043839,0
9454629.14405693,7652635.97043839,0
9454629.14405693,7652630.97043839,0
9454629.14405693,7652625.97043839,0
9454629.14405693,7652620.97043839,0
9454629.14405693,7652615.97043839,0
9454629.14405693,7652610.97043839,0
9454629.14405693,7652605.97043839,0
9454629.14405693,7652600.97043839,0
9454629.14405693,7652595.97043839,0
9454629.14405693,7652590.97043839,0
9454629.14405693,7652585.97043839,0
9454629.14405693,7652580.97043839,0
9454629.14405693,7652575.97043839,0
9454629.14405693,7652570.97043839,0
9454629.14405693,7652565.97043839,0
9454629.14405693,7652560.97043839,0
9454629.14405693,7652555.97043839,0
9454629.14405693,7652550.97043839,0
9454629.14405693,7652545.97043839,0
9454629.14405693,7652540.97043839,0
9454629.14405693,7652535.97043839,0
9454629.14405693,7652530.97043839,0
9454629.14405693,7652525.97043839,0
9454629.14405693,7652520.97043839,0
9454629.14405693,7652515.97043839,0
9454629.14405693,7652510.97043839,0
9454629.14405693,7652505.97043839,0
9454629.14405693,7652500.97043839,0
9454629.14405693,7652495.97043839,0
9454629.14405693,7652490.97043839,0
9454629.14405693,7652485.97043839,0
9454629.14405693,7652480.97043839,0
9454629.14405693,7652475.97043839,0
9454629.14405693,7652470.97043839,0
9454629.14405693,7652465.97043839,0
9454629.14405693,7652460.97043839,0
9454629.14405693,7652455.97043839,0
9454629.14405693,7652450.97043839,0
9454629.14405693,7652445.97043839,0
9454629.14405693,7652440.97043839,0
9454629.14405693,7652435.97043839,0
9454629.14405693,7652430.97043839,0
9454629.14405693,7652425.97043839,0
9454629.14405693,7652420.97043839,0
9454629.14405693,7652415.97043839,0
9454629.14405693,7652410.97043839,0
9454629.14405693,7652405.97043839,0
9454629.14405693,7652400.97043839,0
9454629.14405693,7652395.97043839,0
9454629.14405693,7652390.97043839,0
9454629.14405693,7652385.97043839,0
9454629.14405693,7652380.97043839,0
9454629.14405693,7652375.97043839,0
9454629.14405693,7652370.97043839,0
9454629.14405693,7652365.97043839,0
9454629.14405693,7652360.97043839,0
9454629.14405693,7652355.97043839,1
9454629.14405693,7652350.97043839,1
9454629.14405693,7652345.97043839,1
9454629.14405693,7652340.97043839,1
9454629.14405693,7652335.97043839,1
9454629.14405693,7652330.97043839,1
9454629.14405693,7652325.97043839,1
9454629.14405693,7652320.97043839,1
9454629.14405693,7652315.97043839,1
9454629.14405693,7652310.97043839,1
9454629.14405693,7652305.97043839,1
9454629.14405693,7652300.97043839,1
9454629.14405693,7652295.97043839,1
9454629.14405693,7652290.97043839,0
9454629.14405693,7652285.97043839,0
9454629.14405693,7652280.97043839,0
9454629.14405693,7652275.97043839,0
9454629.14405693,7652270.97043839,0
9454629.14405693,7652265.97043839,0
9454629.14405693,7652260.97043839,0
9454629.14405693,7652255.97043839,0
9454629.14405693,7652250.97043839,0
9454629.14405693,7652245.97043839,0
9454629.14405693,7652240.97043839,0
9454629.14405693,7652235.97043839,0
9454629.14405693,7652230.97043839,0
9454629.14405693,7652225.97043839,0
9454629.14405693,7652220.97043839,0
9454629.14405693,7652215.97043839,0
9454629.14405693,7652210.97043839,0
9454629.14405693,7652205.97043839,0
9454629.14405693,7652200.97043839,0
9454629.14405693,7652195.97043839,0
9454629.14405693,7652190.97043839,0
9454629.14405693,7652185.97043839,0
9454629.14405693,7652180.97043839,0
9454629.14405693,7652175.97043839,0
9454629.14405693,7652170.97043839,0
9454629.14405693,7652165.97043839,0
9454629.14405693,7652160.97043839,0
9454629.14405693,7652155.97043839,0
9454629.14405693,7652150.97043839,0
9454629.14405693,7652145.97043839,0
9454629.14405693,7652140.97043839,0
9454629.14405693,7652135.97043839,0
9454629.14405693,7652130.97043839,0
9454629.14405693,7652125.97043839,0
9454629.14405693,7652120.97043839,0
9454629.14405693,7652115.97043839,0
9454629.14405693,7652110.97043839,0
9454629.14405693,7652105.97043839,0
9454629.14405693,7652100.97043839,0
9454629.14405693,7652095.97043839,0
9454629.14405693,7652090.97043839,0
9454629.14405693,7652085.97043839,0
9454629.14405693,7652080.97043839,0
9454629.14405693,7652075.97043839,0
9454629.14405693,7652070.97043839,0
9454629.14405693,7652065.97043839,0
9454629.14405693,7652060.97043839,0
9454629.14405693,7652055.97043839,0
